speed_adv,stat_adv,coverage_adv,weakness_adv,hp_adv,atk_adv,sp_atk_adv,def_adv,type_diversity_adv,role_balance_a,matchup_adv,speed_control_adv,dmg_matchup_adv,winner
-2.25,-23.75,-5.0,1.0,-8.75,-7.5,2.5,-22.75,-2.0,0.6,1.5,0.0,0.6333,0
10.0,82.5,4.0,-0.5,16.25,26.75,15.0,8.25,2.0,0.4,-0.625,1.0,0.0125,0
-20.0,32.0,1.0,0.5,15.0,3.25,18.75,3.75,1.0,0.6,0.0,-2.0,0.1683,1
-16.25,-109.0,0.0,0.5,1.0,-24.5,-30.0,-26.75,0.0,0.6,0.25,-2.0,-0.3417,1
-6.75,-8.75,-1.0,1.25,-6.75,2.0,-11.75,22.25,-1.0,0.4,0.25,-2.0,0.0383,0
7.5,-18.25,3.0,-1.75,-20.75,-23.25,30.75,-25.5,3.0,0.4,1.0,0.0,0.6833,0
21.25,57.5,-5.0,0.25,0.5,21.75,7.25,3.0,0.0,0.6,0.25,3.0,0.3867,0
10.25,-25.0,0.0,0.25,1.25,-2.0,1.25,-37.0,1.0,0.4,0.75,2.0,0.3317,0
-0.75,-1.25,-1.0,0.0,30.0,-0.75,5.5,-22.75,1.0,0.6,0.0,-1.0,-0.06,0
-25.0,-155.75,3.0,-1.0,-31.25,-31.25,-21.0,-12.5,1.0,0.6,0.25,-2.0,-0.0583,1
5.25,29.0,1.0,-0.25,8.5,5.75,6.25,5.75,1.0,0.6,0.75,0.0,0.68,0
-40.5,-107.0,1.0,-0.75,1.0,-25.75,-21.0,2.75,1.0,0.6,-0.5,-4.0,-0.5017,1
6.5,-18.25,-2.0,-0.25,7.0,6.0,-9.5,-5.0,0.0,0.4,-0.75,1.0,-0.5267,1
-19.25,0.75,0.0,-1.5,23.0,-12.5,4.75,14.75,0.0,0.6,0.5,-2.0,0.1567,1
-20.5,-58.5,-2.0,1.0,4.0,-12.0,-5.0,-16.25,-1.0,0.6,0.25,-3.0,0.2417,1
-31.25,-92.25,-2.0,0.75,-12.5,-8.75,-17.75,-11.75,-1.0,0.4,0.0,-4.0,-0.1167,1
-41.0,-70.0,7.0,-1.75,-12.75,-13.75,-11.25,27.5,3.0,0.4,-1.25,-4.0,-0.9,1
23.25,33.5,1.0,-1.0,3.25,0.25,6.0,-11.75,0.0,0.4,0.375,2.0,0.205,0
6.5,70.0,1.0,-1.0,28.25,24.0,18.75,-10.0,1.0,0.4,-0.25,0.0,0.1517,1
28.5,138.5,-2.0,3.0,26.75,38.25,-13.75,32.5,-1.0,0.4,0.25,4.0,0.0667,0
-3.75,92.0,4.0,0.0,23.5,15.25,30.0,-0.5,2.0,0.2,1.0,-1.0,0.935,0
-4.25,-71.0,-1.0,0.0,-18.75,-19.75,-8.0,0.5,1.0,0.4,0.25,-1.0,-0.1167,1
-13.75,118.75,-2.0,-0.25,31.25,23.75,23.75,28.75,0.0,0.4,0.25,0.0,0.3167,0
-1.5,-10.75,-1.0,0.75,13.75,25.5,-27.0,-5.25,-1.0,0.4,-0.25,0.0,-0.085,1
-10.0,-94.0,-6.0,0.75,-8.0,-28.0,10.0,-16.75,-3.0,0.4,0.75,-3.0,0.1533,1
-23.75,-49.75,4.0,0.0,2.5,-26.25,7.25,-16.75,1.0,0.4,0.0,-1.0,-0.075,0
7.75,54.25,1.0,-0.75,-1.25,0.25,19.25,21.0,-1.0,0.4,-0.25,0.0,-0.0367,1
22.5,132.75,6.0,-1.25,20.25,31.5,8.75,24.75,3.0,0.8,-0.5,3.0,-0.075,0
1.5,-6.25,-2.0,0.5,-10.0,-5.75,17.5,-14.5,-2.0,0.4,0.75,1.0,0.6567,0
10.0,35.0,-8.0,2.0,-10.0,7.5,-11.25,17.5,-2.0,0.6,-0.5,0.0,-0.3417,1
30.0,55.0,-3.0,1.0,12.5,25.0,-2.5,-23.75,-1.0,0.4,0.75,3.0,0.4667,0
-2.5,-63.75,-2.0,1.0,-17.75,-28.5,-4.5,-10.5,-1.0,0.6,-0.5,0.0,-0.6167,1
-1.25,13.75,3.0,-0.75,20.0,16.25,-26.25,5.0,1.0,0.6,0.25,-1.0,0.1917,0
9.0,-40.75,-1.0,0.5,8.75,0.5,-20.0,-41.5,-2.0,0.6,-0.25,2.0,-0.2383,0
6.25,83.25,-1.0,0.5,12.25,-11.25,40.0,29.75,0.0,0.8,-0.5,0.0,-0.2683,1
3.25,-9.75,-1.0,-0.25,17.0,-15.25,5.5,-9.0,2.0,0.6,0.25,1.0,-0.035,1
4.5,20.25,2.0,-0.5,3.5,-19.5,32.5,-4.5,1.0,0.4,0.0,0.0,0.075,1
2.5,67.5,-1.0,0.0,0.75,6.0,41.25,2.0,1.0,0.2,0.5,0.0,0.9167,0
11.25,-20.0,3.0,1.75,16.25,0.0,-22.5,-35.0,1.0,0.8,-0.5,2.0,-0.3667,1
-2.5,-5.5,3.0,0.25,-3.5,-17.75,13.5,6.25,1.0,0.6,0.5,0.0,0.34,1
10.5,6.5,2.0,0.5,-8.75,0.25,-8.25,8.0,0.0,0.6,0.0,1.0,0.035,0
16.25,17.5,2.0,-0.25,1.25,10.75,-8.75,10.5,2.0,0.6,0.25,2.0,0.325,0
-4.25,35.5,3.0,-1.25,10.0,-2.75,30.0,-3.75,1.0,0.4,-0.25,0.0,0.04,0
-24.25,-75.5,3.0,0.0,-21.25,-10.25,6.25,-12.25,2.0,0.4,0.25,-2.0,0.2733,1
15.0,19.25,2.0,0.0,7.5,-13.75,13.75,-15.75,0.0,0.6,-0.75,2.0,-0.7583,0
-25.5,-129.0,-1.0,-0.25,-12.5,-37.75,-22.25,-16.25,0.0,0.4,0.25,-3.0,-0.535,1
-25.0,-56.25,-1.0,-1.0,1.0,-0.5,-31.25,4.5,2.0,0.4,0.0,-4.0,-0.2917,1
-8.25,37.75,2.0,-0.5,29.0,-6.75,9.0,-2.5,-1.0,0.8,-1.0,-1.0,-0.955,1
-23.75,-37.0,-2.0,0.0,18.75,25.0,-23.5,-16.25,1.0,0.6,-0.25,-3.0,-0.2417,1
0.0,36.75,1.0,-1.25,9.75,-8.0,38.75,4.75,2.0,0.6,-0.25,1.0,0.0683,0
-33.75,-22.25,-5.0,1.25,27.25,1.25,-13.0,-11.5,-3.0,0.6,0.0,-4.0,0.0217,1
-30.5,-80.75,-1.0,-0.75,-15.25,9.25,-14.0,12.5,1.0,0.4,0.5,-4.0,0.2833,1
-2.5,-19.5,-3.0,-0.25,4.0,-34.0,20.0,-19.5,0.0,0.6,0.0,1.0,0.0317,1
-11.0,-20.25,1.0,-0.5,0.25,5.25,-22.25,18.75,1.0,0.6,-0.5,-2.0,-0.4383,1
30.5,71.75,-2.0,-0.75,-5.0,-13.0,58.75,-12.0,1.0,0.4,-0.25,3.0,0.1383,0
11.25,-20.75,-4.0,-0.5,-58.75,20.0,0.0,23.0,0.0,0.6,1.75,0.0,0.8583,0
6.75,-68.75,-2.0,1.0,-15.0,-7.5,-22.5,-26.75,-1.0,0.6,0.0,0.0,-0.2083,0
-28.5,-124.25,0.0,-0.75,-23.75,-12.25,-31.75,-29.25,1.0,0.4,-0.25,-3.0,-0.4017,1
0.0,-10.25,1.0,-1.25,-60.25,23.5,5.0,26.75,0.0,0.4,2.75,0.0,1.63,0
-6.0,-17.0,-2.0,1.0,-9.25,3.75,-28.75,24.5,-2.0,0.2,0.5,0.0,0.1667,0
7.0,-104.75,-2.0,0.75,-17.75,-14.0,-57.75,-14.75,-1.0,0.6,0.5,1.0,0.0833,0
-20.0,-76.75,0.0,0.25,-1.25,-12.5,-16.5,-15.0,0.0,0.6,-0.25,-2.0,-0.4833,1
3.75,6.25,0.0,1.0,-16.25,-27.5,28.75,2.5,1.0,0.6,1.25,2.0,0.6333,0
-3.75,-82.5,6.0,-0.5,-21.75,-19.5,-8.75,-11.25,1.0,0.8,1.0,-2.0,0.4133,1
10.0,-12.25,-4.0,1.0,12.75,-7.75,-6.25,-5.0,-1.0,0.8,0.5,2.0,0.015,0
1.5,-71.0,2.0,0.0,-23.0,-8.0,-22.25,-10.75,1.0,0.4,-0.5,0.0,-0.455,1
-12.75,-28.5,-2.0,1.0,35.5,-23.75,-23.75,-21.25,-1.0,0.4,0.25,-1.0,-0.1667,1
5.25,57.25,3.0,0.5,25.75,30.25,-21.5,25.0,0.0,0.6,-0.5,1.0,-0.2917,0
32.0,180.0,-4.0,1.0,16.25,34.25,38.75,18.75,0.0,0.6,0.25,3.0,0.5383,0
2.5,-35.0,4.0,0.5,-18.75,1.5,-7.5,13.5,0.0,0.4,-0.25,1.0,-0.0833,0
-33.5,-29.0,0.0,0.25,4.75,-11.5,-6.25,25.0,0.0,0.4,0.5,-3.0,0.1067,1
-37.0,16.25,4.0,-1.25,-6.25,37.0,16.25,-5.0,1.0,0.4,-0.25,-3.0,0.0967,1
19.25,-0.25,-5.0,0.5,-10.0,13.75,-7.25,-8.75,-1.0,0.4,0.25,2.0,0.1333,0
-15.75,-12.75,9.0,-2.25,0.5,7.5,-10.5,-4.5,2.0,0.6,0.0,-3.0,0.0233,1
15.5,-3.75,-1.0,0.25,-18.75,-19.25,16.25,3.75,0.0,0.4,0.25,2.0,0.3,0
-23.75,-117.0,-2.0,-0.75,-23.75,-32.5,0.0,1.75,1.0,0.4,-0.25,-2.0,-0.15,1
9.25,85.0,3.0,0.75,21.25,27.5,-12.5,20.75,1.0,0.4,0.25,1.0,0.325,0
20.25,71.25,-1.0,1.0,12.0,12.75,-8.75,11.25,-2.0,0.6,0.25,2.0,-0.0167,0
30.25,105.0,4.0,0.0,-9.0,34.75,12.5,26.5,1.0,0.6,0.25,4.0,0.5483,0
13.75,40.0,1.0,-1.5,-42.5,0.0,43.75,27.5,1.0,0.6,0.0,2.0,0.225,0
33.25,21.75,0.0,-0.5,-51.5,-4.25,38.75,6.5,-1.0,0.8,0.0,4.0,0.2083,0
32.75,53.0,0.0,-0.25,17.5,8.5,-2.5,-12.0,0.0,0.6,0.0,4.0,0.0817,0
29.0,24.0,-1.0,0.75,6.25,18.75,-10.0,3.75,-1.0,0.4,-0.75,3.0,-0.4,0
-23.75,-17.75,2.0,-1.25,-0.25,4.25,8.25,15.5,1.0,0.4,-0.25,-3.0,-0.0883,1
-3.25,28.5,3.0,-0.5,10.0,2.25,13.25,4.25,0.0,0.8,0.25,0.0,0.2617,0
-4.25,16.0,5.0,-1.25,0.5,4.75,11.25,-4.5,2.0,0.4,1.0,0.0,0.62,0
16.75,-15.25,3.0,0.0,-12.75,-16.75,-2.5,21.0,1.0,0.4,-0.75,4.0,-0.3533,0
-17.25,-104.0,0.0,-1.25,-8.0,-45.5,6.25,-24.5,2.0,0.4,-0.75,-3.0,-0.85,1
1.25,1.25,-2.0,-1.25,-6.25,-4.0,-15.0,11.5,1.0,0.4,0.0,-1.0,-0.1833,0
14.5,5.5,5.0,-0.5,-47.25,16.5,12.5,14.25,1.0,0.4,0.0,2.0,0.1617,0
10.0,49.25,0.0,1.0,6.5,10.5,-5.0,22.0,0.0,0.4,0.5,2.0,0.2983,0
-24.5,-93.75,2.0,-1.75,-11.25,-34.25,-6.75,-16.0,1.0,0.2,0.25,-3.0,-0.2233,1
18.0,29.0,-1.0,0.25,-1.5,10.0,-8.75,-5.0,1.0,0.6,0.25,2.0,0.2067,0
-31.5,-27.0,-3.0,-0.25,11.5,-16.75,7.5,-0.25,-3.0,0.4,0.25,-4.0,-0.005,1
8.75,-2.5,1.0,-1.5,-18.25,-5.25,-5.0,29.75,2.0,0.4,-0.25,1.0,-0.2667,1
7.0,86.25,-1.0,-0.5,47.5,-21.25,28.75,-5.75,1.0,0.6,0.5,0.0,0.3167,0
2.5,-79.5,1.0,-0.5,-24.0,-18.0,-5.0,-19.75,0.0,0.4,0.0,-1.0,-0.09,1
-32.5,-66.0,0.0,1.25,-20.0,-35.0,23.5,8.25,-1.0,0.4,0.0,-3.0,0.0833,1
-6.75,-97.75,-8.0,2.0,-27.75,-11.75,-17.5,-23.75,-4.0,0.4,0.25,0.0,-0.225,1
-10.25,45.75,6.0,-1.0,14.0,14.75,-1.25,32.25,2.0,0.4,0.0,-1.0,0.1433,0
25.0,37.5,1.0,0.5,1.5,3.0,7.5,0.5,0.0,0.4,0.25,3.0,0.3067,0
33.25,103.25,-2.0,0.5,13.0,4.5,22.5,13.75,1.0,0.6,0.0,4.0,0.0767,0
-11.25,-100.5,0.0,-0.5,-8.75,-25.0,-29.0,-2.5,0.0,0.6,-0.75,0.0,-0.7917,1
-6.25,-40.0,2.0,0.25,-12.5,-12.5,1.25,-8.75,1.0,0.4,-0.25,0.0,-0.1583,0
16.0,-83.5,0.0,1.75,-23.25,-30.0,-1.25,-31.25,0.0,0.4,0.75,1.0,0.2833,0
19.75,-69.25,0.0,0.25,-27.5,-16.75,-8.75,-49.5,0.0,0.4,0.75,3.0,0.355,0
-19.75,-45.75,7.0,-0.5,-9.0,-18.25,17.5,-8.75,1.0,0.4,-0.25,-3.0,-0.2683,1
-9.25,-29.25,2.0,0.0,-4.5,-1.25,-8.0,-7.5,0.0,0.4,0.25,-1.0,0.0817,0
-12.75,1.5,8.0,-1.0,9.25,3.75,13.75,-17.5,3.0,0.6,0.75,-2.0,0.6,0
26.25,137.5,-2.0,1.0,20.0,23.75,42.5,-12.5,1.0,0.4,-0.25,3.0,0.3917,0
-21.0,59.75,0.0,0.75,37.75,28.5,-12.5,20.75,0.0,0.6,-0.25,-3.0,-0.2133,1
-8.75,-61.75,6.0,-1.5,9.5,0.0,-34.5,-7.5,2.0,0.6,-0.75,-2.0,-0.6083,1
9.75,82.5,-3.0,0.5,-1.0,30.0,36.75,3.25,1.0,0.4,-0.5,0.0,0.1017,1
-2.25,18.5,1.0,-0.75,13.25,0.0,11.25,-3.75,0.0,0.4,0.0,-2.0,0.1083,1
-1.25,-35.0,1.0,0.25,-6.25,-17.0,-22.5,22.0,0.0,0.6,0.75,-1.0,0.1083,0
45.5,44.0,1.0,-0.5,-31.0,22.5,10.0,-0.75,-1.0,0.2,-0.75,4.0,-0.05,0
-4.25,32.5,-1.0,0.0,1.25,-0.5,19.25,-4.5,-1.0,0.4,0.0,-1.0,0.0483,1
-4.0,9.75,-3.0,1.0,15.5,9.75,-2.5,10.75,-1.0,0.4,0.5,-1.0,0.2417,0
-23.5,-68.5,0.0,0.0,-0.25,-26.0,-12.0,-15.25,-2.0,0.4,-1.0,-4.0,-0.7717,1
35.75,-7.75,-4.0,2.5,-15.25,-29.0,16.25,-29.25,0.0,0.4,-1.75,3.0,-1.3717,1
9.5,48.0,2.0,-0.25,-5.0,-7.75,21.25,15.0,0.0,0.2,1.0,-1.0,0.7817,0
13.75,152.0,0.0,0.25,65.25,38.75,8.5,10.75,-1.0,0.8,0.0,1.0,0.3883,0
4.0,-123.75,-2.0,0.5,-51.25,-53.0,20.0,-12.25,-1.0,0.4,0.25,1.0,-0.0267,1
-21.25,-85.75,0.0,0.0,-3.25,11.0,-47.75,0.25,1.0,0.4,-0.25,-3.0,-0.47,1
13.0,-15.0,5.0,-1.5,-13.5,9.25,1.25,-17.5,2.0,0.4,-0.25,2.0,0.1,0
18.0,38.5,1.0,0.25,-3.75,8.25,6.25,6.0,-1.0,0.6,1.0,3.0,0.7117,0
-4.25,-33.75,9.0,-1.25,-13.75,13.5,-9.5,-7.0,2.0,0.4,-1.0,-1.0,-0.5867,1
18.25,0.75,2.0,0.5,-3.75,-1.75,-5.25,-17.0,0.0,0.6,0.5,2.0,0.2367,0
-6.25,-56.25,-2.0,0.75,-13.25,-8.0,6.25,-35.0,-1.0,0.4,1.75,-1.0,0.7617,0
-2.5,96.25,0.0,0.0,-3.75,13.0,36.25,58.25,-1.0,0.2,0.0,-1.0,0.125,0
-1.25,31.0,-2.0,0.75,9.75,-16.75,23.75,15.5,-1.0,0.4,-0.25,0.0,-0.15,1
-28.75,-13.0,-5.0,1.25,21.75,14.0,-30.0,15.0,-2.0,0.4,0.0,-3.0,-0.0667,1
13.75,-0.5,4.0,-1.25,-18.0,3.25,10.5,-3.25,2.0,0.4,0.0,2.0,0.0167,0
-20.0,-4.0,3.0,0.0,-1.25,10.0,7.5,15.0,2.0,0.6,-0.25,-2.0,0.0667,1
32.5,26.25,-2.0,0.75,0.25,7.5,-7.75,-2.5,-1.0,0.6,0.25,2.0,0.0967,0
26.25,-21.25,1.0,1.25,1.5,-0.25,-15.0,-42.5,0.0,0.6,0.5,3.0,0.2483,0
-10.5,-2.25,3.0,-0.25,-8.5,-7.0,13.75,23.75,1.0,0.2,0.5,-2.0,0.2583,1
-23.0,-14.0,-2.0,0.0,-0.75,-7.25,10.25,7.0,-2.0,0.4,0.0,-3.0,0.0533,1
41.0,86.25,2.0,0.5,4.75,5.25,18.0,7.75,0.0,0.6,0.75,4.0,0.665,0
18.0,73.25,0.0,1.5,12.0,11.0,10.5,8.0,-1.0,0.6,0.0,1.0,-0.0467,0
0.0,-2.5,-1.0,0.5,4.25,-3.25,-5.5,-13.5,0.0,0.6,0.0,0.0,-0.25,1
37.0,14.25,-1.0,1.0,-13.75,-12.0,21.75,-18.75,0.0,0.8,-0.25,4.0,-0.2267,0
15.5,-41.75,-1.0,0.75,-4.5,-20.0,-1.25,-20.25,0.0,0.4,0.75,1.0,0.4067,0
4.5,-51.0,1.0,-0.5,-13.0,3.75,-28.75,-1.25,-1.0,0.6,0.5,0.0,0.09,1
-11.5,-19.0,-5.0,0.5,5.5,-3.75,-23.75,7.25,-1.0,0.4,-0.5,0.0,-0.5417,1
9.5,-43.0,2.0,-1.0,-55.0,21.0,-6.25,29.0,1.0,0.4,-0.25,2.0,-0.0583,0
-13.25,-24.25,0.0,1.25,-14.0,-9.0,0.75,13.75,-1.0,0.6,1.25,-2.0,0.5367,0
27.75,185.25,3.0,-1.25,11.75,9.0,58.5,40.75,3.0,0.6,-0.25,3.0,0.1867,0
7.75,15.75,1.0,0.5,0.25,17.75,-15.5,10.25,2.0,0.4,0.0,2.0,0.0117,0
-66.25,-147.5,7.0,-2.25,-5.0,-21.25,-32.5,3.75,1.0,0.4,0.0,-4.0,-0.1833,1
5.0,180.0,0.0,-1.25,32.5,31.25,33.75,36.25,0.0,0.6,0.25,-1.0,0.6167,0
-0.5,32.25,6.0,-0.25,30.0,14.0,-7.5,-0.25,4.0,0.6,-1.25,1.0,-0.6083,1
17.0,-15.75,-3.0,1.25,-7.75,-8.0,-7.75,-13.75,-1.0,0.4,0.0,2.0,-0.275,0
-14.25,-69.5,-3.0,-1.75,8.75,-39.5,-7.5,0.25,-1.0,0.4,0.875,-1.0,0.1617,1
-1.25,-46.25,2.0,-0.5,-50.0,18.75,-31.25,47.5,1.0,0.6,-0.5,0.0,-0.5333,1
-19.75,-89.0,0.0,-0.25,5.0,-13.75,-4.0,-31.25,0.0,0.6,0.0,-2.0,-0.15,1
37.75,81.5,1.0,-1.5,3.75,42.5,-5.0,0.0,1.0,0.6,-0.75,2.0,-0.35,0
13.0,59.5,3.0,0.75,-0.75,16.5,18.5,-8.75,0.0,0.6,-0.5,3.0,0.0317,0
6.5,-41.25,4.0,0.0,-11.5,-5.0,-17.25,-10.25,1.0,0.6,0.0,0.0,-0.1617,0
-18.75,-128.25,-5.0,0.75,-26.75,-33.5,-11.25,-15.75,-1.0,0.2,-0.25,-1.0,-0.475,1
-7.25,-0.75,-5.0,3.0,15.75,-13.75,-6.25,-5.25,-2.0,0.6,0.25,0.0,-0.0333,1
5.75,78.5,-1.0,0.25,16.5,-0.25,32.25,13.0,-1.0,0.6,0.25,1.0,0.2617,0
53.25,146.25,-3.0,1.5,25.25,11.25,48.5,3.0,-1.0,0.4,0.5,4.0,0.6217,0
17.5,-38.5,-3.0,1.0,-13.0,-13.5,-8.75,-20.75,1.0,0.6,-0.75,2.0,-0.4017,1
-5.0,45.0,-2.0,-1.75,16.25,13.75,6.25,18.75,-1.0,0.6,-0.25,-1.0,0.275,0
-15.75,32.25,1.0,-1.25,18.25,-1.5,4.75,27.75,1.0,0.8,0.0,-1.0,0.0983,1
-9.75,-24.0,1.0,-1.0,-7.0,9.5,-3.0,-2.0,1.0,0.6,0.25,-1.0,0.2667,0
-4.25,-72.0,-2.0,1.25,-16.25,-16.0,-14.75,-24.0,-1.0,0.4,-0.5,-1.0,-0.4683,1
-9.25,162.5,1.0,0.25,33.5,20.75,42.5,46.25,1.0,0.4,0.25,-2.0,0.375,1
19.0,-46.25,0.0,0.5,-17.5,-3.0,17.5,-48.5,-1.0,0.6,1.0,3.0,0.5767,0
-19.5,-53.5,-1.0,0.25,2.5,-10.5,-16.75,0.75,-2.0,0.4,0.25,-3.0,-0.0883,1
-22.0,-44.5,6.0,-0.5,9.0,-2.0,-8.75,-3.5,2.0,0.6,0.0,-3.0,-0.0333,1
10.5,38.0,1.0,-0.5,4.5,12.0,10.5,-6.25,0.0,0.6,0.25,1.0,0.2933,0
10.0,81.25,1.0,0.0,-1.0,4.75,12.5,22.5,0.0,0.4,0.0,2.0,0.1233,0
-8.75,-15.5,-4.0,0.0,-12.5,-8.75,-1.75,13.75,-1.0,0.6,1.0,-1.0,0.5333,0
-4.25,-62.0,0.0,-0.75,-21.0,-0.25,2.75,7.0,-1.0,0.6,0.0,-1.0,0.2033,1
5.25,28.5,0.0,-0.75,12.0,-23.75,7.5,11.25,0.0,0.8,0.25,1.0,0.0417,0
-12.0,-50.5,2.0,-1.25,-1.0,3.0,-26.25,-12.0,1.0,0.4,0.5,-2.0,-0.0083,0
-26.25,-46.25,3.0,1.25,-0.5,-8.5,-27.25,15.0,0.0,0.4,-0.25,-1.0,-0.3783,1
16.0,-66.25,2.0,-0.25,-41.25,-35.0,17.5,-11.0,0.0,0.6,0.0,1.0,-0.0333,1
25.0,3.0,1.0,0.75,-3.5,4.25,3.75,-6.75,-1.0,0.4,0.25,2.0,0.115,0
-11.75,-97.0,-2.0,0.75,-7.75,-19.5,-18.0,-20.0,1.0,0.4,0.5,0.0,-0.0533,1
7.25,148.0,1.0,-1.5,37.5,11.75,44.75,25.5,0.0,0.6,-0.5,1.0,0.0117,1
21.75,116.75,3.0,-0.5,-25.0,63.75,3.75,20.0,-1.0,0.4,0.25,2.0,0.7083,0
3.25,10.5,1.0,0.25,-8.0,-10.0,18.5,9.5,-1.0,0.4,1.0,1.0,0.7117,0
-5.0,-22.5,3.0,-1.25,-8.75,-1.25,-13.75,-6.25,2.0,0.4,0.25,-1.0,0.1083,0
12.0,-65.5,-3.0,0.75,-17.25,-19.5,7.5,-50.5,-1.0,0.4,0.25,1.0,-0.01,1
-15.75,-113.25,-3.0,1.25,-4.0,-38.5,-28.75,-8.25,-2.0,0.4,-0.875,-3.0,-0.8317,1
11.25,-28.75,1.0,0.5,-5.25,-27.5,20.0,-43.5,0.0,0.8,-0.5,1.0,-0.3983,1
-22.25,-96.5,1.0,-1.0,-8.0,-22.5,-15.0,-25.0,3.0,0.4,0.5,-1.0,-0.075,1
-30.75,8.25,3.0,0.25,33.75,20.0,-37.5,24.0,1.0,0.8,-0.875,-3.0,-0.45,1
-25.0,-127.25,-3.0,0.0,-21.5,-18.5,-24.75,-13.75,-4.0,0.6,-0.25,-3.0,-0.405,1
20.5,26.5,-4.0,-0.25,-3.5,-12.5,19.5,-13.75,-1.0,0.6,-0.25,3.0,-0.12,0
10.5,5.25,1.0,0.25,9.25,-11.5,-2.75,-24.0,1.0,0.6,0.0,1.0,-0.3417,1
21.25,28.75,4.0,-0.5,1.25,5.5,-3.75,4.5,0.0,0.4,0.0,2.0,0.0083,0
-26.75,-33.0,3.0,0.5,12.5,-9.75,1.25,-4.0,2.0,0.6,-0.25,-4.0,-0.155,1
20.0,12.5,-2.0,1.5,6.25,-6.25,30.0,-40.0,0.0,0.6,0.25,3.0,0.4333,0
36.0,110.0,1.0,-0.5,16.5,17.25,21.25,7.5,2.0,0.4,0.5,4.0,0.5883,0
-21.75,62.5,1.0,-1.0,36.25,12.25,8.75,16.0,2.0,0.4,-0.25,-2.0,-0.1267,1
-1.75,18.75,0.0,-0.25,12.5,23.0,-16.25,-1.25,0.0,0.4,0.0,0.0,0.1133,1
0.25,-74.5,-4.0,1.75,-25.0,-5.0,-21.25,5.25,-2.0,0.4,1.0,-1.0,0.39,1
11.5,-24.75,-2.0,1.75,28.75,-27.25,-16.75,-32.0,0.0,0.6,0.25,1.0,-0.185,0
33.5,80.0,1.0,-0.5,-6.5,35.25,6.25,20.25,1.0,0.4,0.5,3.0,0.6683,0
-9.5,-159.75,-1.0,0.75,-71.25,5.0,-53.75,7.25,-2.0,0.4,1.0,-1.0,-0.1,1
8.75,1.25,4.0,-2.25,-46.25,-1.25,40.0,13.75,2.0,0.4,0.25,1.0,0.345,0
-3.75,-65.25,-1.0,0.5,-21.75,-15.5,-5.0,-8.0,-2.0,0.6,0.0,0.0,0.0933,1
35.0,-66.25,5.0,-2.25,-53.75,-41.25,22.5,-18.75,1.0,0.6,0.25,3.0,-0.05,0
-19.0,-59.5,0.0,-0.25,8.75,-13.5,-16.25,-13.25,-1.0,0.4,0.75,-3.0,0.1817,1
9.75,28.0,-1.0,-0.25,-2.0,-2.5,5.75,-1.0,-1.0,0.6,0.5,1.0,0.175,0
0.75,-56.5,3.0,0.25,-11.5,-8.0,-18.5,-8.5,0.0,0.2,0.25,1.0,-0.1117,0
19.75,82.5,0.0,0.75,21.75,3.25,18.75,10.25,2.0,0.4,-1.75,2.0,-0.71,1
-8.75,-58.5,2.0,-0.5,-27.5,13.5,-16.25,-10.5,1.0,0.4,0.5,-2.0,0.4417,0
-13.75,-77.5,1.0,-0.25,-1.25,-13.75,-1.25,-13.75,-1.0,0.6,-0.25,-2.0,-0.3417,1
3.25,-28.75,2.0,0.5,-16.25,1.5,-3.25,3.5,1.0,0.6,1.0,0.0,0.5067,0
-5.0,23.25,2.0,-0.5,6.25,-17.5,33.75,-10.5,3.0,0.4,0.875,0.0,0.5417,0
23.0,-52.5,-3.0,1.25,-15.0,-14.5,0.0,-23.5,-1.0,0.4,0.25,2.0,-0.0183,0
-3.25,-67.5,-3.0,0.0,-19.75,-17.0,1.25,-3.75,-3.0,0.4,0.25,-1.0,0.01,1
18.75,-35.0,1.0,0.5,-3.75,-1.0,-20.25,3.75,-1.0,0.6,-0.75,1.0,-0.5067,1
-6.5,-107.0,4.0,-0.25,-19.25,-19.5,-25.5,-13.0,1.0,0.4,0.0,-2.0,-0.5883,1
-30.0,-49.5,5.0,-0.75,4.25,-9.5,-4.5,17.25,1.0,0.4,0.75,-4.0,0.32,1
23.75,35.0,2.0,-1.0,-11.25,9.5,10.0,0.5,1.0,0.4,0.25,2.0,0.425,0
-6.5,-90.5,5.0,-0.75,-14.0,-22.5,-8.25,-22.5,1.0,0.4,-0.75,0.0,-0.3917,1
-11.0,-43.5,1.0,-0.75,-22.0,6.75,-18.75,-3.5,1.0,0.6,-0.75,-2.0,-0.585,1
7.5,-40.0,-6.0,1.25,0.75,-12.25,-27.25,-12.5,-2.0,0.6,0.0,1.0,-0.38,1
3.25,61.5,1.0,-0.75,16.5,15.5,-1.25,17.5,1.0,0.4,-1.25,-1.0,-0.475,1
38.75,72.5,-3.0,1.5,2.5,-13.75,27.5,-10.0,-1.0,0.4,0.25,4.0,-0.0583,0
-13.75,-55.25,3.0,-0.75,-6.5,-0.75,-26.25,-3.0,3.0,0.6,0.25,-1.0,-0.1333,0
22.5,57.5,-3.0,0.0,-7.5,-3.75,15.0,27.5,-1.0,0.6,0.0,1.0,-0.025,0
1.75,-46.75,-3.0,0.5,-13.0,-2.75,-2.5,-22.25,0.0,0.4,0.0,-1.0,-0.0067,1
17.5,156.25,0.0,-0.5,33.0,31.25,31.0,19.75,-1.0,0.4,0.0,2.0,0.3,0
